iter	Passed	Remaining
0	3	386
1	7	356
2	10	345
3	14	337
4	17	330
5	20	323
6	23	317
7	27	314
8	30	310
9	34	309
10	37	306
11	41	301
12	44	297
13	47	293
14	51	291
15	55	290
16	58	287
17	62	285
18	66	282
19	69	279
20	73	276
21	77	273
22	80	271
23	84	267
24	88	264
25	92	262
26	95	259
27	99	256
28	103	253
29	107	250
30	111	247
31	114	244
32	118	241
33	122	238
34	126	234
35	130	231
36	134	228
37	138	225
38	141	221
39	145	217
40	148	214
41	152	210
42	156	207
43	160	204
44	164	200
45	167	197
46	172	194
47	176	190
48	180	187
49	183	183
50	187	179
51	191	176
52	195	173
53	199	169
54	202	165
55	206	162
56	209	158
57	213	154
58	217	151
59	221	147
60	225	144
61	228	140
62	232	136
63	235	132
64	239	128
65	242	125
66	246	121
67	249	117
68	253	113
69	256	109
70	259	106
71	263	102
72	266	98
73	270	94
74	273	91
75	277	87
76	280	83
77	284	80
78	287	76
79	290	72
80	294	69
81	297	65
82	300	61
83	304	57
84	308	54
85	311	50
86	314	47
87	318	43
88	321	39
89	324	36
90	328	32
91	331	28
92	334	25
93	338	21
94	342	18
95	345	14
96	349	10
97	352	7
98	355	3
99	359	0
