iter	Passed	Remaining
0	6	6416
1	10	5403
2	15	5012
3	20	5146
4	25	5062
5	29	4804
6	34	4933
7	38	4810
8	42	4699
9	47	4733
10	52	4759
11	56	4686
12	60	4596
13	66	4649
14	70	4630
15	76	4678
16	83	4806
17	87	4755
18	90	4682
19	95	4682
20	99	4660
21	105	4673
22	109	4669
23	116	4735
24	120	4706
25	125	4683
26	130	4716
27	137	4766
28	141	4729
29	147	4766
30	152	4754
31	156	4720
32	159	4677
33	165	4707
34	169	4685
35	173	4645
36	179	4675
37	184	4675
38	189	4659
39	196	4727
40	202	4738
41	207	4734
42	214	4776
43	219	4779
44	228	4843
45	233	4843
46	238	4833
47	244	4858
48	249	4845
49	255	4851
50	261	4867
51	266	4857
52	271	4845
53	278	4871
54	282	4845
55	284	4799
56	289	4793
57	294	4784
58	299	4769
59	304	4771
60	310	4776
61	314	4764
62	319	4747
63	324	4745
64	328	4728
65	333	4725
66	339	4722
67	344	4718
68	349	4712
69	355	4720
70	359	4703
71	364	4693
72	369	4690
73	374	4683
74	379	4683
75	384	4670
76	390	4680
77	394	4662
78	397	4639
79	402	4628
80	405	4605
81	410	4590
82	413	4566
83	419	4571
84	423	4554
85	426	4533
86	430	4522
87	436	4525
88	440	4507
89	445	4504
90	450	4498
91	454	4486
92	459	4479
93	463	4466
94	468	4465
95	472	4448
96	476	4438
97	480	4422
98	485	4417
99	488	4399
100	493	4395
101	497	4381
102	502	4372
103	506	4364
104	509	4345
105	513	4334
106	518	4324
107	521	4308
108	525	4294
109	528	4279
110	533	4275
111	537	4259
112	540	4245
113	544	4234
114	549	4231
115	554	4223
116	557	4211
117	564	4218
118	568	4209
119	573	4205
120	577	4192
121	582	4189
122	586	4178
123	589	4166
124	595	4165
125	599	4157
126	603	4147
127	607	4140
128	612	4137
129	617	4130
130	621	4122
131	626	4118
132	630	4109
133	634	4097
134	637	4086
135	642	4082
136	646	4071
137	650	4060
138	653	4049
139	657	4041
140	661	4032
141	665	4021
142	669	4012
143	673	4005
144	677	3994
145	680	3982
146	684	3970
147	687	3959
148	691	3951
149	695	3941
150	699	3931
151	703	3922
152	708	3921
153	712	3911
154	716	3903
155	719	3893
156	724	3891
157	729	3884
158	732	3874
159	736	3867
160	742	3870
161	746	3863
162	752	3863
163	757	3860
164	761	3851
165	765	3848
166	770	3841
167	775	3838
168	779	3831
169	784	3827
170	789	3828
171	793	3819
172	797	3813
173	801	3803
174	805	3798
175	809	3787
176	812	3777
177	815	3767
178	820	3761
179	823	3751
180	827	3744
181	830	3733
182	834	3724
183	838	3719
184	842	3711
185	846	3705
186	850	3697
187	854	3692
188	858	3685
189	862	3676
190	866	3668
191	871	3665
192	874	3657
193	878	3650
194	882	3644
195	887	3638
196	890	3631
197	894	3622
198	897	3614
199	902	3609
200	906	3602
201	909	3593
202	912	3583
203	917	3580
204	921	3572
205	924	3564
206	928	3555
207	933	3552
208	936	3545
209	941	3542
210	945	3535
211	950	3532
212	953	3524
213	957	3518
214	961	3510
215	966	3506
216	969	3498
217	973	3490
218	976	3482
219	981	3481
220	985	3473
221	988	3465
222	992	3456
223	996	3452
224	1000	3445
225	1004	3438
226	1007	3430
227	1011	3425
228	1016	3421
229	1020	3415
230	1024	3411
231	1030	3410
232	1034	3405
233	1038	3399
234	1042	3394
235	1047	3391
236	1051	3384
237	1055	3378
238	1060	3376
239	1064	3370
240	1068	3364
241	1071	3356
242	1075	3350
243	1079	3345
244	1083	3338
245	1086	3330
246	1090	3323
247	1096	3323
248	1100	3320
249	1104	3312
250	1108	3308
251	1112	3301
252	1115	3294
253	1119	3287
254	1123	3281
255	1126	3275
256	1130	3268
257	1133	3260
258	1137	3253
259	1141	3247
260	1144	3240
261	1147	3233
262	1151	3225
263	1154	3219
264	1158	3213
265	1162	3207
266	1165	3199
267	1168	3191
268	1173	3188
269	1176	3181
270	1181	3179
271	1185	3174
272	1190	3170
273	1194	3165
274	1198	3158
275	1202	3153
276	1206	3148
277	1210	3143
278	1213	3137
279	1218	3132
280	1222	3126
281	1226	3122
282	1230	3116
283	1234	3111
284	1238	3106
285	1241	3099
286	1245	3093
287	1248	3086
288	1253	3083
289	1257	3077
290	1260	3071
291	1264	3065
292	1267	3059
293	1271	3053
294	1274	3046
295	1277	3039
296	1280	3032
297	1285	3027
298	1288	3020
299	1291	3013
300	1294	3006
301	1298	3000
302	1302	2995
303	1306	2990
304	1310	2985
305	1313	2979
306	1318	2976
307	1321	2970
308	1326	2966
309	1330	2960
310	1334	2957
311	1338	2950
312	1342	2946
313	1346	2942
314	1351	2938
315	1355	2934
316	1359	2929
317	1363	2924
318	1368	2920
319	1372	2915
320	1376	2910
321	1380	2907
322	1384	2901
323	1388	2897
324	1391	2890
325	1396	2887
326	1400	2881
327	1404	2877
328	1407	2871
329	1412	2867
330	1416	2863
331	1420	2858
332	1423	2851
333	1427	2846
334	1431	2841
335	1435	2836
336	1438	2830
337	1442	2824
338	1446	2819
339	1449	2813
340	1453	2808
341	1456	2802
342	1461	2798
343	1464	2793
344	1468	2788
345	1472	2782
346	1476	2777
347	1480	2772
348	1484	2769
349	1487	2763
350	1492	2760
351	1496	2754
352	1500	2750
353	1504	2745
354	1508	2740
355	1512	2736
356	1516	2731
357	1520	2726
358	1525	2723
359	1529	2718
360	1533	2713
361	1536	2708
362	1541	2704
363	1545	2699
364	1549	2695
365	1553	2690
366	1557	2687
367	1561	2682
368	1565	2676
369	1568	2670
370	1572	2666
371	1576	2660
372	1579	2655
373	1582	2649
374	1586	2643
375	1590	2639
376	1593	2634
377	1597	2627
378	1600	2621
379	1604	2618
380	1608	2613
381	1611	2607
382	1614	2601
383	1618	2595
384	1622	2591
385	1625	2586
386	1628	2579
387	1631	2573
388	1636	2570
389	1640	2565
390	1644	2561
391	1647	2555
392	1651	2551
393	1655	2545
394	1658	2540
395	1661	2534
396	1664	2528
397	1669	2525
398	1672	2519
399	1676	2514
400	1679	2508
401	1682	2503
402	1686	2498
403	1690	2493
404	1694	2489
405	1697	2483
406	1701	2479
407	1705	2474
408	1708	2468
409	1711	2462
410	1714	2457
411	1718	2453
412	1722	2448
413	1726	2443
414	1730	2439
415	1735	2436
416	1738	2430
417	1742	2426
418	1746	2421
419	1750	2417
420	1754	2412
421	1757	2407
422	1762	2404
423	1766	2400
424	1771	2396
425	1774	2391
426	1779	2388
427	1784	2384
428	1788	2380
429	1792	2376
430	1797	2373
431	1802	2369
432	1806	2365
433	1812	2363
434	1816	2358
435	1819	2354
436	1824	2350
437	1831	2350
438	1836	2346
439	1839	2341
440	1844	2338
441	1849	2334
442	1852	2329
443	1857	2325
444	1861	2321
445	1865	2317
446	1870	2313
447	1876	2311
448	1880	2307
449	1885	2304
450	1891	2302
451	1898	2301
452	1903	2298
453	1908	2295
454	1912	2291
455	1917	2287
456	1922	2284
457	1928	2281
458	1937	2283
459	1948	2287
460	1956	2287
461	1962	2285
462	1968	2283
463	1974	2281
464	1979	2277
465	1984	2274
466	1990	2272
467	1995	2267
468	2000	2264
469	2005	2262
470	2010	2257
471	2014	2253
472	2018	2249
473	2023	2245
474	2026	2239
475	2030	2234
476	2035	2231
477	2039	2226
478	2043	2222
479	2046	2217
480	2052	2214
481	2056	2209
482	2059	2204
483	2063	2200
484	2068	2196
485	2072	2191
486	2076	2187
487	2080	2182
488	2085	2178
489	2089	2174
490	2092	2169
491	2096	2164
492	2100	2160
493	2104	2155
494	2108	2150
495	2112	2146
496	2116	2142
497	2120	2138
498	2124	2133
499	2129	2129
500	2133	2125
501	2137	2120
502	2141	2115
503	2145	2111
504	2150	2108
505	2154	2103
506	2158	2099
507	2163	2095
508	2166	2090
509	2171	2085
510	2174	2081
511	2179	2077
512	2183	2072
513	2187	2068
514	2190	2063
515	2194	2058
516	2198	2054
517	2203	2050
518	2207	2045
519	2212	2042
520	2216	2037
521	2220	2033
522	2223	2028
523	2228	2024
524	2232	2019
525	2235	2014
526	2239	2010
527	2244	2006
528	2248	2001
529	2251	1996
530	2255	1992
531	2259	1987
532	2263	1982
533	2266	1978
534	2270	1973
535	2275	1969
536	2279	1965
537	2283	1961
538	2287	1956
539	2291	1951
540	2295	1947
541	2298	1942
542	2302	1937
543	2306	1933
544	2310	1928
545	2313	1923
546	2317	1918
547	2320	1914
548	2324	1909
549	2328	1905
550	2332	1900
551	2335	1895
552	2340	1891
553	2344	1887
554	2347	1882
555	2351	1877
556	2355	1873
557	2359	1868
558	2363	1864
559	2367	1860
560	2371	1855
561	2375	1851
562	2378	1846
563	2382	1841
564	2386	1837
565	2391	1833
566	2396	1829
567	2399	1824
568	2404	1821
569	2407	1816
570	2410	1811
571	2413	1806
572	2417	1801
573	2422	1797
574	2426	1793
575	2429	1788
576	2432	1783
577	2436	1778
578	2440	1774
579	2443	1769
580	2446	1764
581	2450	1759
582	2454	1755
583	2457	1750
584	2460	1745
585	2463	1740
586	2467	1735
587	2470	1731
588	2473	1726
589	2476	1721
590	2481	1717
591	2485	1712
592	2489	1708
593	2492	1703
594	2495	1698
595	2500	1694
596	2504	1690
597	2508	1685
598	2511	1681
599	2515	1677
600	2520	1673
601	2523	1668
602	2527	1664
603	2532	1660
604	2536	1655
605	2539	1650
606	2542	1646
607	2547	1642
608	2551	1638
609	2556	1634
610	2561	1630
611	2565	1626
612	2569	1622
613	2573	1617
614	2577	1613
615	2581	1609
616	2584	1604
617	2588	1600
618	2592	1595
619	2596	1591
620	2600	1587
621	2604	1582
622	2607	1578
623	2612	1574
624	2616	1570
625	2620	1565
626	2623	1560
627	2628	1557
628	2632	1552
629	2635	1548
630	2639	1543
631	2644	1539
632	2647	1535
633	2651	1530
634	2654	1525
635	2659	1522
636	2663	1517
637	2667	1513
638	2670	1508
639	2675	1505
640	2679	1500
641	2683	1496
642	2688	1492
643	2693	1488
644	2697	1484
645	2700	1480
646	2705	1476
647	2710	1472
648	2714	1468
649	2719	1464
650	2724	1460
651	2730	1457
652	2735	1453
653	2740	1450
654	2744	1445
655	2748	1441
656	2752	1436
657	2757	1433
658	2761	1429
659	2765	1424
660	2769	1420
661	2774	1416
662	2777	1411
663	2781	1407
664	2785	1403
665	2789	1398
666	2793	1394
667	2796	1389
668	2801	1385
669	2805	1381
670	2808	1376
671	2811	1372
672	2815	1367
673	2820	1363
674	2825	1360
675	2829	1356
676	2835	1352
677	2839	1348
678	2843	1344
679	2849	1340
680	2853	1336
681	2857	1332
682	2862	1328
683	2866	1324
684	2870	1320
685	2874	1315
686	2878	1311
687	2883	1307
688	2887	1303
689	2890	1298
690	2894	1294
691	2900	1290
692	2905	1287
693	2909	1282
694	2913	1278
695	2916	1273
696	2919	1269
697	2923	1264
698	2926	1260
699	2930	1255
700	2941	1254
701	2951	1252
702	2961	1251
703	2970	1248
704	2979	1246
705	2984	1242
706	2988	1238
707	2994	1234
708	3002	1232
709	3009	1229
710	3013	1224
711	3017	1220
712	3020	1215
713	3025	1211
714	3029	1207
715	3032	1202
716	3036	1198
717	3040	1194
718	3045	1190
719	3048	1185
720	3052	1181
721	3055	1176
722	3059	1172
723	3063	1167
724	3066	1163
725	3069	1158
726	3073	1154
727	3077	1149
728	3080	1145
729	3084	1140
730	3087	1136
731	3091	1131
732	3095	1127
733	3098	1122
734	3102	1118
735	3105	1114
736	3109	1109
737	3112	1105
738	3116	1100
739	3120	1096
740	3124	1091
741	3127	1087
742	3130	1082
743	3134	1078
744	3138	1074
745	3141	1069
746	3145	1065
